,index,season,seasonNumber,series,episode,challengeType,outcomeType,guestJudge,competedOnTC,otherShows
321,321,Kentucky,16,US,4,Quickfire,Individual,Nina Compton,Yes,
322,322,Kentucky,16,US,5,Elimination,Team,Caroline Styne,,
323,323,Kentucky,16,US,6,Elimination,Individual,Ken Oringer,,
324,324,Kentucky,16,US,7,Quickfire,Individual,Lena Waithe,,
325,325,Kentucky,16,US,7,Elimination,Individual,Dario Cecchini,,
326,326,Kentucky,16,US,7,Elimination,Individual,Nancy Silverton,,Tournament of Champions Judge
327,327,Kentucky,16,US,8,Elimination,Team,Emeril Lagasse,,
328,328,Kentucky,16,US,8,Elimination,Team,Emeril Lagasse,,
329,329,Kentucky,16,US,9,Quickfire,Individual,Hunter Hayes,,
330,330,Kentucky,16,US,9,Elimination,Individual,Jonathan Waxman,,"Top Chef Masters Season 1 and 2, and more as a Judge?"
331,331,Kentucky,16,US,10,Quickfire,Individual,Edward Lee,Yes,
332,332,Kentucky,16,US,10,Elimination,Team,Edward Lee,Yes,
333,333,Kentucky,16,US,10,Elimination,Team,Hunter Lewis,,Yes?
334,334,Kentucky,16,US,10,Elimination,Team,John Calipari,,
335,335,Kentucky,16,US,11,Quickfire,Individual,Art Smith,,Top Chef Masters Seasons 1 and 4
336,336,Kentucky,16,US,11,Quickfire,Individual,Art Smith,,Top Chef Masters Seasons 1 and 4
337,337,Kentucky,16,US,11,Elimination,Individual,Laila Ali,,
338,338,Kentucky,16,US,12,Quickfire,Individual,Ouita Michel,,
339,339,Kentucky,16,US,12,Elimination,Individual,Bryan Voltaggio,Yes,"Tournament of Champions, Battle of the Brothers, Top Chef Masters Season 5"
340,340,Kentucky,16,US,12,Elimination,Individual,Chris Coombs,,
341,341,Kentucky,16,US,12,Elimination,Individual,David Posey,,
342,342,Kentucky,16,US,12,Elimination,Individual,Gavin Kaysen,,
343,343,Kentucky,16,US,12,Elimination,Individual,JD Fratzke,,
344,344,Kentucky,16,US,12,Elimination,Individual,Kim Alter,,
345,345,Kentucky,16,US,12,Elimination,Individual,Ouita Michel,,
346,346,Kentucky,16,US,13,Elimination,Individual,Jowett Yu,,
347,347,Kentucky,16,US,14,Quickfire,Individual,Abe Conlon,,
348,348,Kentucky,16,US,14,Elimination,Individual,Abe Conlon,,
349,349,Kentucky,16,US,14,Elimination,Individual,Florita Morais Alves,,
350,350,Kentucky,16,US,14,Elimination,Individual,Manuela Ferreira,,
351,351,Las Vegas,6,US,1,Elimination,Team,Wolfgang Puck,,
352,352,Las Vegas,6,US,2,Quickfire,Individual,Todd English,,
353,353,Las Vegas,6,US,2,Elimination,Team,Todd English,,
354,354,Las Vegas,6,US,3,Quickfire,Individual,Mark Peel,,Top Chef Masters Season 1
355,355,Las Vegas,6,US,3,Elimination,Team,Mark Peel,,Top Chef Masters Season 1
356,356,Las Vegas,6,US,3,Elimination,Individual,Mark Peel,,Top Chef Masters Season 1
357,357,Las Vegas,6,US,4,Sudden Death Quickfire,Individual,Daniel Boulud,,
358,358,Las Vegas,6,US,4,Quickfire,Individual,Daniel Boulud,,
359,359,Las Vegas,6,US,4,Elimination,Team,Daniel Boulud,,
360,360,Las Vegas,6,US,4,Elimination,Team,Hubert Keller,,Top Chef Masters Runner-Up (Season 1)
361,361,Las Vegas,6,US,4,Elimination,Team,Jean Joho,,
362,362,Las Vegas,6,US,4,Elimination,Team,Joel Robuchon,,
363,363,Las Vegas,6,US,5,Quickfire,Individual,Tim Love,,"Top Chef Masters Season 1, Tournament of Champions"
364,364,Las Vegas,6,US,5,Elimination,Individual,Tim Love,,"Top Chef Masters Season 1, Tournament of Champions"
365,365,Las Vegas,6,US,6,Quickfire,Individual,Michelle Bernstein,,
366,366,Las Vegas,6,US,6,Elimination,Individual,Michelle Bernstein,,
367,367,Las Vegas,6,US,6,Elimination,Individual,Penn & Teller,,
368,368,Las Vegas,6,US,6,Elimination,Individual,Toby Young,,
369,369,Las Vegas,6,US,7,Quickfire,Individual,Tyler Florence,,
370,370,Las Vegas,6,US,7,Elimination,Team,Govind Armstrong,,Top Chef Masters Season 2
371,371,Las Vegas,6,US,7,Elimination,Team,Nancy Silverton,,Tournament of Champions Judge
372,372,Las Vegas,6,US,7,Elimination,Team,Takashi Yagihashi,,Top Chef Masters Season 4
373,373,Las Vegas,6,US,7,Elimination,Team,Tom Douglas,,
374,374,Las Vegas,6,US,7,Elimination,Team,Tyler Florence,,
375,375,Las Vegas,6,US,8,Quickfire,Individual,Charlie Palmer,,
376,376,Las Vegas,6,US,8,Elimination,Individual,Charlie Palmer,,
377,377,Las Vegas,6,US,8,Elimination,Individual,Dana Cowin,,
378,378,Las Vegas,6,US,8,Elimination,Individual,Toby Young,,
379,379,Las Vegas,6,US,9,Quickfire,Team,Rick Moonen,,Top Chef Masters Season 2
380,380,Las Vegas,6,US,9,Elimination,Team,Rick Moonen,,Top Chef Masters Season 2
381,381,Las Vegas,6,US,9,Elimination,Team,Toby Young,,
382,382,Las Vegas,6,US,10,Quickfire,Individual,Paul Barolotta,,
383,383,Las Vegas,6,US,10,Elimination,Individual,Natalie Portman,,
384,384,Las Vegas,6,US,12,Quickfire,Individual,Nigella Lawson,,
385,385,Las Vegas,6,US,12,Elimination,Individual,Nigella Lawson,,
386,386,Las Vegas,6,US,12,Elimination,Individual,Toby Young,,
387,387,Las Vegas,6,US,13,Quickfire,Individual,Gavin Kaysen,,
388,388,Las Vegas,6,US,13,Elimination,Individual,Alex Stratta,,Top Chef Masters Season 3
389,389,Las Vegas,6,US,13,Elimination,Individual,Daniel Boulud,,
390,390,Las Vegas,6,US,13,Elimination,Individual,Gavin Kaysen,,
391,391,Las Vegas,6,US,13,Elimination,Individual,Jerome Bocus,,
392,392,Las Vegas,6,US,13,Elimination,Individual,Thomas Keller,,
393,393,Las Vegas,6,US,13,Elimination,Individual,Traci Des Jardins,,Top Chef Masters Season 3
394,394,Las Vegas,6,US,14,Quickfire,Individual,Michael Chiarello,,Top Chef Masters Runner-Up (Season 1)
395,395,Las Vegas,6,US,14,Elimination,Individual,Michael Chiarello,,Top Chef Masters Runner-Up (Season 1)
396,396,Las Vegas,6,US,15,Elimination,Individual,Donatella Arpaia,,
397,397,Las Vegas,6,US,15,Elimination,Individual,Douglas Keane,,Top Chef Masters Season 5
398,398,Las Vegas,6,US,15,Elimination,Individual,Sam Nazarian,,
399,399,Las Vegas,6,US,15,Elimination,Individual,Stephen Starr,,
400,400,Las Vegas,6,US,15,Elimination,Individual,Toby Young,,
401,401,Los Angeles,2,US,1,Quickfire,Individual,Harold Dieterle,Yes,
402,402,Los Angeles,2,US,1,Elimination,Individual,Harold Dieterle,Yes,
403,403,Los Angeles,2,US,2,Quickfire,Individual,Hiroshi Shima,,
404,404,Los Angeles,2,US,2,Elimination,Team,Ming Tsai,,Tournament of Champions Judge
405,405,Los Angeles,2,US,3,Elimination,Individual,Stephen Bugarelli,,
406,406,Los Angeles,2,US,4,Quickfire,Individual,Suzanne Goin,,
407,407,Los Angeles,2,US,4,Elimination,Team,Suzanne Goin,,
408,408,Los Angeles,2,US,5,Quickfire,Individual,Michelle Bernstein,,
409,409,Los Angeles,2,US,5,Elimination,Team,Michelle Bernstein,,
410,410,Los Angeles,2,US,6,Elimination,Individual,Anthony Bourdain,,Parts Unknown; No Reservations
411,411,Los Angeles,2,US,7,Quickfire,Individual,Raphael Lunetta,,
412,412,Los Angeles,2,US,7,Elimination,Individual,Raphael Lunetta,,
413,413,Los Angeles,2,US,8,Quickfire,Individual,Kristen Woodward,,
414,414,Los Angeles,2,US,8,Elimination,Team,Lee Hefter,,
415,415,Los Angeles,2,US,8,Elimination,Team,Ted Allen,,Chopped Host
416,416,Los Angeles,2,US,9,Quickfire,Individual,Ted Allen,,Chopped Host
417,417,Los Angeles,2,US,9,Elimination,Individual,Debi Mazar,,
418,418,Los Angeles,2,US,9,Elimination,Individual,Roberto Ivan,,
419,419,Los Angeles,2,US,9,Elimination,Individual,Ted Allen,,Chopped Host
420,420,Los Angeles,2,US,10,Quickfire,Individual,Mike Yakura,,
421,421,Los Angeles,2,US,10,Elimination,Team,Mike Yakura,,
422,422,Los Angeles,2,US,11,Quickfire,Individual,Eric Ripert,,Yes?
423,423,Los Angeles,2,US,11,Elimination,Individual,Eric Ripert,,Yes?
424,424,Los Angeles,2,US,12,Elimination,Individual,Alan Wong,,
425,425,Los Angeles,2,US,13,Elimination,Individual,Hubert Keller,,Top Chef Masters Runner-Up (Season 1)
426,426,Los Angeles,2,US,13,Elimination,Individual,Michelle Bernstein,,
427,427,Los Angeles,2,US,13,Elimination,Individual,Roy Yamaguchi,,Top Chef Masters Season 1
428,428,Los Angeles,2,US,13,Elimination,Individual,Scott Conant,,Chopped Judge; Tournament of Champions Judge
429,429,Los Angeles,2,US,13,Elimination,Individual,Wylie Dufresne,,Top Chef Masters Season 1 and 2
430,430,Masters Season 1,1,US Masters,2,Quickfire,Individual,Betty Fraser,Yes,
431,431,Masters Season 1,1,US Masters,2,Quickfire,Individual,Ilan Hall,Yes,
432,432,Masters Season 1,1,US Masters,2,Quickfire,Individual,Michael Midgley,Yes,
433,433,Masters Season 1,1,US Masters,2,Elimination,Individual,Carlton Cuse,,
434,434,Masters Season 1,1,US Masters,2,Elimination,Individual,Damon Lindelof,,
435,435,Masters Season 1,1,US Masters,3,Quickfire,Individual,Chris Oliver,,
436,436,Masters Season 1,1,US Masters,3,Quickfire,Individual,Christine Peters,,
437,437,Masters Season 1,1,US Masters,3,Quickfire,Individual,Joanne Cehn,,
438,438,Masters Season 1,1,US Masters,4,Quickfire,Individual,Gail Simmons,,Top Chef: Just Desserts
439,439,Masters Season 1,1,US Masters,4,Quickfire,Individual,Monica May,,
440,440,Masters Season 1,1,US Masters,4,Quickfire,Individual,Terry Reish,,
441,441,Masters Season 1,1,US Masters,4,Elimination,Individual,Neil Patrick Harris,,
442,442,Masters Season 1,1,US Masters,5,Quickfire,Individual,Jeff Lewis,,
443,443,Masters Season 1,1,US Masters,6,Quickfire,Individual,Whole Foods workers,,
444,444,Masters Season 1,1,US Masters,7,Quickfire,Team,Tom Colicchio,,Top Chef Judge
445,445,Masters Season 1,1,US Masters,8,Quickfire,Individual,Morgan Spurlock,,
446,446,Masters Season 1,1,US Masters,8,Quickfire,Individual,Sang Yoon,,Top Chef Masters Season 5
447,447,Masters Season 1,1,US Masters,8,Quickfire,Individual,Spike Mendelsohn,Yes,
448,448,Masters Season 1,1,US Masters,8,Elimination,Individual,Zooey Deschanel,,
449,449,Masters Season 1,1,US Masters,10,Elimination,Individual,Gail Simmons,,Top Chef: Just Desserts
450,450,Masters Season 1,1,US Masters,10,Elimination,Individual,Padma Lakshmi,,
451,451,Masters Season 1,1,US Masters,10,Elimination,Individual,Tom Colicchio,,Top Chef Judge
452,452,Masters Season 2,2,US Masters,1,Quickfire,Team,The Bravery,,
453,453,Masters Season 2,2,US Masters,1,Quickfire,Team,"The Bravery, Lexus",,
454,454,Masters Season 2,2,US Masters,2,Elimination,Individual,Mekhi Phifer,,
455,455,Masters Season 2,2,US Masters,3,Quickfire,Individual,Real Housewives of Orange County,,
456,456,Masters Season 2,2,US Masters,4,Quickfire,Individual,Gail Simmons,,Top Chef: Just Desserts
457,457,Masters Season 2,2,US Masters,4,Quickfire,Individual,Stephen Hamilton,,
458,458,Masters Season 2,2,US Masters,6,Quickfire,Individual,Hank Azaria,,
459,459,Masters Season 2,2,US Masters,6,Quickfire,Individual,Matt Groenig,,
460,460,Masters Season 2,2,US Masters,6,Quickfire,Individual,Matt Selman,,
461,461,Masters Season 2,2,US Masters,6,Elimination,Individual,Andrew Zimmern,,Tournament of Champions Judge; Iron Chef: Quest for an Iron Legend Judge
462,462,Masters Season 2,2,US Masters,7,Quickfire,Individual,Jason Lezak,,
463,463,Masters Season 2,2,US Masters,8,Elimination,Individual,Gail Simmons,,Top Chef: Just Desserts
464,464,Masters Season 2,2,US Masters,9,Quickfire,Individual,James Oseland,,Top Chef Masters Judge
465,465,Masters Season 2,2,US Masters,10,Elimination,Individual,Hubert Keller,,Top Chef Masters Runner-Up (Season 1)
466,466,Masters Season 2,2,US Masters,10,Elimination,Individual,Michael Chiarello,,Top Chef Masters Runner-Up (Season 1)
467,467,Masters Season 2,2,US Masters,10,Elimination,Individual,Rick Bayless,,Top Chef Masters Season 1
468,468,Masters Season 2,2,US Masters,10,Elimination,Individual,Tom Colicchio,,Top Chef Judge
469,469,Masters Season 3,3,US Masters,2,Quickfire,Individual,Kelis,,
470,470,Masters Season 3,3,US Masters,2,Elimination,Individual,Christina Hendrix,,
471,471,Masters Season 3,3,US Masters,2,Elimination,Individual,Geoffrey Arend,,
472,472,Masters Season 3,3,US Masters,3,Quickfire,Individual,Mykel Hawke,,
473,473,Masters Season 3,3,US Masters,3,Quickfire,Individual,Ruth England,,
474,474,Masters Season 3,3,US Masters,3,Elimination,Individual,Alan Sytsma,,
475,475,Masters Season 3,3,US Masters,4,Quickfire,Individual,Norbert Namgib,,
476,476,Masters Season 3,3,US Masters,4,Elimination,Team,Alan Sytsma,,
477,477,Masters Season 3,3,US Masters,5,Quickfire,Individual,Brendan Newnam,,
478,478,Masters Season 3,3,US Masters,5,Quickfire,Individual,Rico Gagliano,,
479,479,Masters Season 3,3,US Masters,5,Elimination,Individual,Alan Sytsma,,
480,480,Masters Season 3,3,US Masters,6,Elimination,Team,Gail Simmons,,Top Chef: Just Desserts
481,481,Masters Season 3,3,US Masters,7,Elimination,Individual,Gael Greene,,
482,482,Masters Season 3,3,US Masters,7,Elimination,Individual,Gail Simmons,,Top Chef: Just Desserts
483,483,Masters Season 3,3,US Masters,8,Elimination,Individual,Padma Lakshmi,,Top Chef Host
484,484,Masters Season 4,4,US Masters,3,Quickfire,Individual,Brian Boitano,,
485,485,Masters Season 4,4,US Masters,3,Elimination,Team,Mary Sue Milliken,,Top Chef Masters Season 3
486,486,Masters Season 4,4,US Masters,3,Elimination,Team,Susan Feniger,,Top Chef Masters Season 2
487,487,Masters Season 4,4,US Masters,3,Elimination,Team,Rick Moonen,,Top Chef Masters Season 2
488,488,Masters Season 4,4,US Masters,3,Elimination,Team,Jonathan Waxman,,"Top Chef Masters Season 1 and 2, and more as a Judge?"
489,489,Masters Season 4,4,US Masters,3,Elimination,Team,Francis Lam,,
490,490,Masters Season 4,4,US Masters,4,Quickfire,Individual,B52s,,
491,491,Masters Season 4,4,US Masters,4,Elimination,Team,Members of the Hualapai tribe,,
492,492,Masters Season 4,4,US Masters,4,Elimination,Team,Francis Lam,,
493,493,Masters Season 4,4,US Masters,5,Quickfire,Individual,Indigo Girls,,
494,494,Masters Season 4,4,US Masters,5,Elimination,Individual,Holly Madison,,
495,495,Masters Season 4,4,US Masters,5,Elimination,Individual,Francis Lam,,
496,496,Masters Season 4,4,US Masters,6,Quickfire,Individual,Dita Von Teese,,
497,497,Masters Season 4,4,US Masters,6,Elimination,Individual,Alan Sytsma,,
498,498,Masters Season 4,4,US Masters,6,Elimination,Individual,Francis Lam,,
499,499,Masters Season 4,4,US Masters,7,Quickfire,Individual,Chris Cosentino,,Top Chef Masters Season 4
500,500,Masters Season 4,4,US Masters,7,Quickfire,Individual,Patricia Yeo,,Top Chef Masters Season 4
501,501,Masters Season 4,4,US Masters,7,Quickfire,Individual,Lorena Garcia,,Top Chef Masters Season 4
502,502,Masters Season 4,4,US Masters,7,Elimination,Individual,Sugar Ray Leonard,,
503,503,Masters Season 4,4,US Masters,7,Elimination,Individual,Jane Goldman,,
504,504,Masters Season 4,4,US Masters,7,Elimination,Individual,Kerry Heffernan,,Top Chef Masters Season 4
505,505,Masters Season 4,4,US Masters,8,Quickfire,Team,Johnny Avello,,
506,506,Masters Season 4,4,US Masters,8,Elimination,Individual,Francis Lam,,
507,507,Masters Season 4,4,US Masters,9,Elimination,Individual,Francis Lam,,
508,508,Masters Season 4,4,US Masters,10,Elimination,Individual,Alan Richman,,
509,509,Masters Season 4,4,US Masters,10,Elimination,Individual,Jane Goldman,,
510,510,Masters Season 4,4,US Masters,10,Elimination,Individual,Francis Lam,,
511,511,Masters Season 4,4,US Masters,10,Elimination,Individual,Alan Sytsma,,
512,512,Masters Season 4,4,US Masters,10,Elimination,Individual,John Curtas,,
513,513,Masters Season 4,4,US Masters,10,Elimination,Individual,Lesley Bargar Suter,,
514,514,Masters Season 4,4,US Masters,10,Elimination,Individual,Karen Brooks,,
515,515,Miami,3,US,2,Elimination,Individual,Anthony Bourdain,,Parts Unknown; No Reservations
516,516,Miami,3,US,3,Quickfire,Individual,Norman van Aken,,
517,517,Miami,3,US,3,Elimination,Individual,Norman van Aken,,
518,518,Miami,3,US,4,Quickfire,Individual,Alfred Portale,,
519,519,Miami,3,US,4,Elimination,Individual,Alfred Portale,,
520,520,Miami,3,US,5,Quickfire,Individual,Jamie Walker,,
521,521,Miami,3,US,5,Elimination,Team,Barton G. Weiss,,
522,522,Miami,3,US,6,Quickfire,Individual,Maria Frumkin,,
523,523,Miami,3,US,6,Elimination,Individual,Maria Frumkin,,
524,524,Miami,3,US,8,Quickfire,Individual,Rocco DiSpirito,,Tournament of Champions Judge & Contestant
525,525,Miami,3,US,8,Elimination,Team,Rocco DiSpirito,,Tournament of Champions Judge & Contestant
526,526,Miami,3,US,9,Quickfire,Individual,Govind Armstrong,,Top Chef Masters Season 2
527,527,Miami,3,US,9,Elimination,Team,Govind Armstrong,,Top Chef Masters Season 2
528,528,Miami,3,US,10,Quickfire,Individual,Daniel Boulud,,
529,529,Miami,3,US,10,Elimination,Team,Daniel Boulud,,
530,530,Miami,3,US,11,Elimination,Team,Geoffrey Zakarian,,Chopped Judge
531,531,Miami,3,US,12,Quickfire,Individual,Michael Schwartz,,
532,532,Miami,3,US,12,Elimination,Individual,Dana Cowin,,
533,533,Miami,3,US,12,Elimination,Individual,Michael Schwartz,,
534,534,Miami,3,US,13,Elimination,Individual,Anthony Bourdain,,Parts Unknown; No Reservations
535,535,Miami,3,US,13,Elimination,Individual,Jimmy Canora,,
536,536,Miami,3,US,14,Quickfire,Individual,Sirio Maccioni,,
537,537,Miami,3,US,14,Elimination,Individual,Alain Sailhac,,
538,538,Miami,3,US,14,Elimination,Individual,Andre Soltner,,
539,539,Miami,3,US,14,Elimination,Individual,Cesare Casella,,
540,540,Miami,3,US,14,Elimination,Individual,Dorothy Hamilton,,
541,541,Miami,3,US,14,Elimination,Individual,Jacques Torres,,
542,542,Miami,3,US,14,Elimination,Individual,Nils Noren,,Top Chef Masters Season 1
543,543,Miami,3,US,15,Quickfire,Individual,Eric Ripert,,Yes?
544,544,Miami,3,US,15,Elimination,Individual,Eric Ripert,,Yes?
545,545,Miami,3,US,16,Elimination,Individual,Michelle Bernstein,,
546,546,Miami,3,US,16,Elimination,Individual,Rocco DiSpirito,,Tournament of Champions Judge & Contestant
547,547,Miami,3,US,16,Elimination,Individual,Todd English,,
548,548,New Orleans,11,US,1,Elimination,Individual,Curtis Stone,,Top Chef Masters Season 3 Host
549,549,New Orleans,11,US,2,Quickfire,Individual,Leah Chase,,
550,550,New Orleans,11,US,2,Elimination,Team,Susan Spicer,,
551,551,New Orleans,11,US,3,Sudden Death Quickfire,Individual,Dana Cowin,,
552,552,New Orleans,11,US,3,Quickfire Elimination,Individual,Dana Cowin,,
553,553,New Orleans,11,US,4,Elimination,Team,Eddie Huang,,
554,554,New Orleans,11,US,5,Quickfire,Team,Gail Simmons,,Top Chef: Just Desserts
555,555,New Orleans,11,US,5,Elimination,Team,Lea Michele,,
556,556,New Orleans,11,US,6,Quickfire,Individual,John Besh,,Top Chef Masters Season 1
557,557,New Orleans,11,US,7,Quickfire,Individual,Kermit Ruffins,,
558,558,New Orleans,11,US,7,Elimination,Team,Sue Zemanick,,Top Chef Masters Season 3 and Season 5
559,559,New Orleans,11,US,8,Quickfire,Individual,Dr. John,,
560,560,New Orleans,11,US,8,Elimination,Individual,Donald Link,,
561,561,New Orleans,11,US,9,Elimination,Team,David Chang,,
562,562,New Orleans,11,US,10,Quickfire,Individual,Hubert Keller,,Top Chef Masters Runner-Up (Season 1)
563,563,New Orleans,11,US,10,Quickfire,Individual,Hubert Keller,,Top Chef Masters Runner-Up (Season 1)
564,564,New Orleans,11,US,10,Elimination,Individual,Anthony Mackie,,
565,565,New Orleans,11,US,11,Quickfire,Individual,Questlove,,
566,566,New Orleans,11,US,12,Quickfire,Individual,John Besh,,Top Chef Masters Season 1
567,567,New Orleans,11,US,12,Elimination,Individual,John Besh,,Top Chef Masters Season 1
568,568,New Orleans,11,US,13,Quickfire,Individual,Jacques Pepin,,
569,569,New Orleans,11,US,13,Elimination,Team,Jacques Pepin,,
570,570,New Orleans,11,US,14,Quickfire,Individual,Roy Choi,,
571,571,New Orleans,11,US,14,Elimination,Individual,Jon Favreau,,
572,572,New Orleans,11,US,16,Quickfire,Individual,Sam Choy,,
573,573,New York,5,US,1,Elimination,Individual,Jean-Georges Vongerichten,,
574,574,New York,5,US,2,Quickfire,Individual,Donatella Arpaia,,
575,575,New York,5,US,3,Quickfire,Individual,Grant Achatz,,
576,576,New York,5,US,4,Quickfire,Individual,Rocco DiSpirito,,Tournament of Champions Judge & Contestant
577,577,New York,5,US,4,Elimination,Individual,Rocco DiSpirito,,Tournament of Champions Judge & Contestant
578,578,New York,5,US,5,Elimination,Team,Dana Cowin,,
579,579,New York,5,US,6,Quickfire,Individual,Martha Stewart,,
580,580,New York,5,US,6,Elimination,Individual,Michelle Bernstein,,
581,581,New York,5,US,6,Elimination,Individual,Natasha Richardson,,
582,582,New York,5,US,7,Quickfire,Individual,Jean-Christophe Novelli,,
583,583,New York,5,US,7,Elimination,Individual,Toby Young,,
584,584,New York,5,US,8,Quickfire,Individual,Hung Huynh,Yes,
585,585,New York,5,US,8,Elimination,Team,Dan Barber,,
586,586,New York,5,US,9,Quickfire,Individual,Stephen Starr,,
587,587,New York,5,US,9,Elimination,Team,Stephen Starr,,
588,588,New York,5,US,10,Quickfire,Individual,Scott Conant,,Chopped Judge; Tournament of Champions Judge
589,589,New York,5,US,11,Quickfire,Individual,Eric Ripert,,Yes?
590,590,New York,5,US,11,Elimination,Individual,Eric Ripert,,Yes?
591,591,New York,5,US,12,Quickfire,Individual,Wylie Dufresne,,Top Chef Masters Season 1 and 2
592,592,New York,5,US,12,Elimination,Individual,Wylie Dufresne,,Top Chef Masters Season 1 and 2
593,593,New York,5,US,13,Quickfire,Individual,Emeril Lagasse,,
594,594,New York,5,US,13,Elimination,Individual,Emeril Lagasse,,
595,595,New York,5,US,14,Elimination,Individual,Branford Marsalis,,
596,596,New York,5,US,14,Elimination,Individual,Hubert Keller,,Top Chef Masters Runner-Up (Season 1)
597,597,New York,5,US,14,Elimination,Individual,John Besh,,Top Chef Masters Season 1
598,598,New York,5,US,14,Elimination,Individual,Rocco DiSpirito,,Tournament of Champions Judge & Contestant
599,599,New York,5,US,14,Elimination,Individual,Susan Spicer,,
600,600,New York,5,US,14,Elimination,Individual,Ti Adelaide Martin,,
601,601,Portland,18,US,2,Quickfire,Individual,Amar Santana,Yes,
602,602,Portland,18,US,2,Quickfire,Individual,Carrie Baird,Yes,
603,603,Portland,18,US,2,Quickfire,Individual,Dale Talde,Yes,
604,604,Portland,18,US,2,Quickfire,Individual,Gregory Gourdet,Yes,
605,605,Portland,18,US,2,Quickfire,Individual,Kwame Onwuachi,Yes,
606,606,Portland,18,US,2,Quickfire,Individual,Melissa King,Yes,
607,607,Portland,18,US,2,Quickfire,Individual,Richard Blais,Yes,
608,608,Portland,18,US,7,Elimination,Individual,Jose Andres,,
609,609,Portland,18,US,9,Quickfire,Individual,Carrie Brownstein,,
610,610,Portland,18,US,9,Quickfire,Individual,Fred Armisen,,
611,611,Portland,18,US,10,Quickfire,Individual,Richard Blais,Yes,
612,612,Portland,18,US,11,Quickfire,Team,Gabriel Rucker,,
613,613,Portland,18,US,12,Quickfire,Individual,Vitaly Paley,,
614,614,Portland,18,US,12,Elimination,Individual,Massimo Bottura,,
615,615,Portland,18,US,13,Elimination,Individual,Naomi Pomeroy,,Top Chef Masters Season 3
616,616,Portland,18,US,14,Elimination,Individual,Naomi Pomeroy,,Top Chef Masters Season 3
617,617,Portland,18,US,14,Elimination,Individual,Peter Cho,,
618,618,San Francisco,1,US,1,Quickfire,Individual,Hubert Keller,,Top Chef Masters Runner-Up (Season 1)
619,619,San Francisco,1,US,1,Quickfire,Individual,Hubert Keller,,Top Chef Masters Runner-Up (Season 1)
620,620,San Francisco,1,US,1,Elimination,Individual,Hubert Keller,,Top Chef Masters Runner-Up (Season 1)
621,621,San Francisco,1,US,1,Elimination,Individual,Paige White,,
622,622,San Francisco,1,US,2,Quickfire,Individual,Elizabeth Falkner,,"Top Chef Masters Season 1, Tournament of Champions"
623,623,San Francisco,1,US,2,Elimination,Individual,Elizabeth Falkner,,"Top Chef Masters Season 1, Tournament of Champions"
624,624,San Francisco,1,US,2,Elimination,Individual,Madame S.,,
625,625,San Francisco,1,US,3,Quickfire,Individual,Laurent Manrique,,
626,626,San Francisco,1,US,3,Elimination,Team,Boys & Girls Club,,
627,627,San Francisco,1,US,3,Elimination,Team,Laurent Manrique,,
628,628,San Francisco,1,US,4,Quickfire,Individual,Jefferson Hill,,
629,629,San Francisco,1,US,4,Elimination,Individual,Jefferson Hill,,
630,630,San Francisco,1,US,4,Elimination,Individual,Junior League of Oakland-East Bay,,
631,631,San Francisco,1,US,5,Quickfire,Individual,Mike Yakura,,
632,632,San Francisco,1,US,5,Elimination,Team,Mike Yakura,,
633,633,San Francisco,1,US,6,Quickfire,Individual,Ted Allen,,Chopped Host
634,634,San Francisco,1,US,6,Elimination,Individual,Ted Allen,,Chopped Host
635,635,San Francisco,1,US,7,Quickfire,Individual,Jeffrey Chodorow,,
636,636,San Francisco,1,US,7,Elimination,Team,Jeffrey Chodorow,,
637,637,San Francisco,1,US,8,Quickfire,Individual,Marcy Blum,,
638,638,San Francisco,1,US,8,Elimination,Individual,Marcy Blum,,
639,639,San Francisco,1,US,11,Elimination,Individual,Hubert Keller,,Top Chef Masters Runner-Up (Season 1)
640,640,San Francisco,1,US,11,Elimination,Individual,Lee Anne Wong,Yes,
641,641,San Francisco,1,US,11,Elimination,Individual,Miguel Morales,Yes,
642,642,San Francisco,1,US,11,Elimination,Individual,Stephen Asprinio,Yes,
643,643,San Francisco,1,US,12,Elimination,Individual,Dana Cowin,,
644,644,San Francisco,1,US,12,Elimination,Individual,Drew Nieporent,,
645,645,San Francisco,1,US,12,Elimination,Individual,Hubert Keller,,Top Chef Masters Runner-Up (Season 1)
646,646,San Francisco,1,US,12,Elimination,Individual,Lorraine Bracco,,
647,647,San Francisco,1,US,12,Elimination,Individual,Michael Mina,,
648,648,Seattle,10,US,2,Quickfire,Individual,CJ Jacobson,Yes,
649,649,Seattle,10,US,2,Quickfire,Individual,Josie Smith-Malave,Yes,
650,650,Seattle,10,US,2,Quickfire,Individual,Stefan Richter,Yes,
651,651,Seattle,10,US,2,Elimination,Team,Tom Douglas,,
652,652,Seattle,10,US,3,Quickfire,Individual,Dana Cowin,,
653,653,Seattle,10,US,4,Quickfire,Individual,Naomi Pomeroy,,Top Chef Masters Season 3
654,654,Seattle,10,US,5,Quickfire,Team,Paisley Gordon,,
655,655,Seattle,10,US,6,Quickfire,Individual,Marilyn Hagerty,,
656,656,Seattle,10,US,6,Elimination,Individual,Rick Moonen,,Top Chef Masters Season 2
657,657,Seattle,10,US,7,Quickfire,Individual,Stephanie Izard,Yes,Tournament of Champions
658,658,Seattle,10,US,8,Quickfire,Individual,Emeril Lagasse,,
659,659,Seattle,10,US,8,Quickfire,Individual,Emeril Legasse,,
660,660,Seattle,10,US,9,Quickfire,Team,Bob Kramer,,
