,index,season,seasonNumber,series,episode,challengeType,outcomeType,guestJudge,competedOnTC,otherShows
69,69,All-Stars L.A.,17,US,14,Elimination,Individual,Marcus Samuelsson,,"Top Chef Masters Season 2, Chopped Judge, Tournament of Champions Judge"
70,70,All-Stars L.A.,17,US,14,Elimination,Individual,Mauro Colagreco,,
71,71,All-Stars L.A.,17,US,14,Elimination,Individual,Tony Mantuano,,Top Chef Masters Season 2
72,72,Boston,12,US,1,Sudden Death Quickfire,Team,Richard Blais,Yes,
73,73,Boston,12,US,1,Elimination,Individual,Richard Blais,Yes,
74,74,Boston,12,US,2,Quickfire,Individual,Todd English,,
75,75,Boston,12,US,2,Elimination,Team,Dante De Magistris,,
76,76,Boston,12,US,3,Sudden Death Quickfire,Individual,Ming Tsai,,Tournament of Champions Judge
77,77,Boston,12,US,3,Elimination,Individual,Ming Tsai,,Tournament of Champions Judge
78,78,Boston,12,US,4,Quickfire,Individual,George Wendt,,
79,79,Boston,12,US,4,Elimination,Team,Michael Schow,,Top Chef Masters Season 1
80,80,Boston,12,US,5,Quickfire,Individual,Jamie Bissonnette,,
81,81,Boston,12,US,5,Elimination,Team,Jamie Bissonnette,,
82,82,Boston,12,US,6,Quickfire,Team,Tiffani Faisson,Yes,"Chopped Judge, Tournament of Champions, Beachside Brawl"
83,83,Boston,12,US,6,Elimination,Individual,Ken Oringer,,
84,84,Boston,12,US,7,Elimination,Team,Barbara Lynch,,
85,85,Boston,12,US,8,Sudden Death Quickfire,Individual,Jasper White,,
86,86,Boston,12,US,8,Elimination,Individual,Richard Blais,Yes,
87,87,Boston,12,US,9,Quickfire,Individual,Rob Gronkowski,,
88,88,Boston,12,US,9,Elimination,Individual,Tony Maws,,
89,89,Boston,12,US,10,Quickfire,Individual,Andy Cohen,,Bravo shows
90,90,Boston,12,US,10,Quickfire,Individual,Dave Ansel,,
91,91,Boston,12,US,10,Elimination,Individual,Jacques Pepin,,
92,92,Boston,12,US,11,Elimination,Individual,Ashley Christensen,,
93,93,Boston,12,US,12,Quickfire,Individual,Wylie Dufresne,,Top Chef Masters Season 1 and 2
94,94,Boston,12,US,12,Elimination,Individual,Wylie Dufresne,,Top Chef Masters Season 1 and 2
95,95,Boston,12,US,13,Quickfire,Individual,Enrique Olvera,,
96,96,Boston,12,US,14,Quickfire,Individual,Enrique Farjeat,,
97,97,Boston,12,US,14,Elimination,Individual,Eduardo Calesuevos,,
98,98,California,13,US,2,Elimination,Team,Ludo Lefebvre,,Top Chef Masters Season 1 and 2
99,99,California,13,US,3,Sudden Death Quickfire,Individual,Dana Cowin,,
100,100,California,13,US,3,Elimination,Individual,Cat Cora,,Iron Chef
101,101,California,13,US,3,Elimination,Individual,Jon Shook,,
102,102,California,13,US,3,Elimination,Individual,Michael Cimarusti,,Top Chef Masters Season 1
103,103,California,13,US,3,Elimination,Individual,Suzanne Goin,,
104,104,California,13,US,3,Elimination,Individual,Vinny Dotolo,,
105,105,California,13,US,4,Quickfire,Individual,Jose Andres,,
106,106,California,13,US,4,Elimination,Team,John Besh,,Top Chef Masters Season 1
107,107,California,13,US,5,Quickfire,Individual,Chrissy Teigen,,
108,108,California,13,US,5,Elimination,Individual,Art Smith,,Top Chef Masters Seasons 1 and 4
109,109,California,13,US,6,Sudden Death Quickfire,Individual,Javier Plascencia,,
110,110,California,13,US,6,Elimination,Individual,Representative from Ballast Point Brewing Company,,
111,111,California,13,US,6,Elimination,Individual,Representative from Stone Brewing Co.,,
112,112,California,13,US,7,Quickfire,Individual,Antonia Lofaso,Yes,Tournament of Champions; Beachside Brawl; others
113,113,California,13,US,7,Elimination,Individual,Michael Voltaggio,Yes,Battle of the Brothers; Tournament of Champions; others
114,114,California,13,US,8,Elimination,Team,Chris Cosentino,,Top Chef Masters Season 4
115,115,California,13,US,9,Elimination,Team,Bill Chait,,
116,116,California,13,US,10,Elimination,Team,Bill Chait,,
117,117,California,13,US,11,Quickfire,Individual,MC Hammer,,
118,118,California,13,US,11,Elimination,Individual,Jonathan Waxman,,"Top Chef Masters Season 1 and 2, and more as a Judge?"
119,119,California,13,US,12,Quickfire,Individual,Martin Yan,,
120,120,California,13,US,12,Elimination,Individual,Adam Fleishman,,
121,121,California,13,US,13,Sudden Death Quickfire,Individual,Traci Des Jardins,,Top Chef Masters Season 3
122,122,California,13,US,13,Elimination,Individual,Hubert Keller,,Top Chef Masters Runner-Up (Season 1)
123,123,California,13,US,14,Quickfire,Individual,Rick Moonen,,Top Chef Masters Season 2
124,124,California,13,US,14,Elimination,Individual,David Copperfield,,
125,125,California,13,US,14,Elimination,Individual,Julian Serrano,,
126,126,Canada 6,6,Canada,2,Quickfire,Individual,Danny Bowien,,
127,127,Canada 6,6,Canada,2,Elimination,Individual,Lynn Crawford,,Top Chef Masters Season 5
