,index,name,chef,hometown,city,state,age,season,seasonNumber,series,placement,personOfColor,occupation,gender
0,0,Richard Blais,Richard B.,,,,38.0,All Stars: New York,8,US,1,,Owner,Male
1,1,Mike Isabella,Mike I.,,,,35.0,All Stars: New York,8,US,2,,Executive Chef/Owner,Male
2,2,Antonia Lofaso,Antonia L.,,,,34.0,All Stars: New York,8,US,3,,Executive Chef,Female
3,3,Tiffany Derry,Tiffany D.,,,,27.0,All Stars: New York,8,US,4,POC,Executive Chef,Female
4,4,Carla Hall,Carla H.,,,,46.0,All Stars: New York,8,US,5,POC,Chef/Owner,Female
5,5,Dale Talde,Dale T.,,,,32.0,All Stars: New York,8,US,6,POC,Chef de Cuisine,Male
6,6,Angelo Sosa,Angelo S.,,,,35.0,All Stars: New York,8,US,7,POC,President,Male
7,7,Fabio Viviani,Fabio V.,,,,32.0,All Stars: New York,8,US,8,,Owner,Male
8,8,Tre Wilcox,Tre W.,,,,34.0,All Stars: New York,8,US,9,POC,Executive Chef,Male
9,9,Marcel Vigneron,Marcel V.,,,,30.0,All Stars: New York,8,US,10,,Executive Chef,Male
10,10,Jamie Lauren,Jamie L.,,,,32.0,All Stars: New York,8,US,11,,Executive Chef,Female
11,11,Tiffani Faison,Tiffani F.,,,,33.0,All Stars: New York,8,US,11,,Executive Chef,Female
12,12,Casey Thompson,Casey T.,,,,32.0,All Stars: New York,8,US,13,,Executive Chef,Female
13,13,Spike Mendelsohn,Spike M.,,,,29.0,All Stars: New York,8,US,14,,Chef/Owner,Male
14,14,Dale Levitski,Dale L.,,,,37.0,All Stars: New York,8,US,15,,Executive Chef,Male
15,15,Stephen Asprinio,Stephen A.,,,,29.0,All Stars: New York,8,US,15,,Principal,Male
16,16,Jennifer Carroll,Jennifer C.,,,,35.0,All Stars: New York,8,US,17,,Chef de Cuisine,Female
17,17,Elia Aboumrad,Elia A.,,,,27.0,All Stars: New York,8,US,18,,Consultant/Private Caterer,Female
18,18,Melissa King,Melissa K.,,San Francisco,California,,All-Stars L.A.,17,US,1,POC,,Female
19,19,Bryan Voltaggio,Bryan V.,,Frederick,Maryland,,All-Stars L.A.,17,US,2,,,Male
20,20,Stephanie Cmar,Stephanie C.,,Boston,Massachusetts,,All-Stars L.A.,17,US,2,,,Female
21,21,Kevin Gillespie,Kevin G.,,Atlanta,Georgia,,All-Stars L.A.,17,US,4,,,Male
22,22,Gregory Gourdet,Gregory G.,,Portland,Oregon,,All-Stars L.A.,17,US,5,POC,,Male
23,23,Brian Malarkey,Brian M.,,San Diego,California,,All-Stars L.A.,17,US,6,,,Male
24,24,Karen Akunowicz,Karen A.,,Boston,Massachusetts,,All-Stars L.A.,17,US,7,,,Female
25,25,Lee Anne Wong,Lee Anne W.,,Maui,Hawaii,,All-Stars L.A.,17,US,8,POC,,Female
26,26,Eric Adjepong,Eric A.,,Washington,D.C.,,All-Stars L.A.,17,US,9,POC,,Male
27,27,Nini Nguyen,Nini N.,,New York,New York,,All-Stars L.A.,17,US,10,POC,,Female
28,28,Jennifer Carroll,Jennifer C.,,Philadelphia,Pennsylvania,,All-Stars L.A.,17,US,11,,,Female
29,29,Lisa Fernandes,Lisa F.,,Brooklyn,New York,,All-Stars L.A.,17,US,12,,,Female
30,30,Jamie Lynch,Jamie Ly.,,Charlotte,North Carolina,,All-Stars L.A.,17,US,13,,Chef/Partner,Female
31,31,Angelo Sosa,Angelo S.,,San Diego,California,,All-Stars L.A.,17,US,14,POC,,Male
32,32,Joe Sasto,Joe S.,,Los Angeles,California,,All-Stars L.A.,17,US,15,,,Male
33,33,Mei Lin,Mei L.,"Dearborn, Michigan",Los Angeles,California,28.0,Boston,12,US,1,POC,Sous Chef,Female
34,34,Gregory Gourdet,Gregory G.,"Queens, New York",Portland,Oregon,39.0,Boston,12,US,2,POC,Executive Chef,Male
35,35,Doug Adams,Doug A.,"Tyler, Texas",Portland,Oregon,29.0,Boston,12,US,3,,Sous Chef,Male
36,36,Melissa King,Melissa K.,"Los Angeles, California",San Francisco,California,30.0,Boston,12,US,4,POC,Private Chef,Female
37,37,George Pagonis,George P.,"Washington, D.C.",Washington,D.C.,31.0,Boston,12,US,5,,Chef/Partner,Male
38,38,Katsuji Tanabe,Katsuji T.,"Mexico City, Mexico",Los Angeles,California,33.0,Boston,12,US,6,POC,Chef/Owner,Male
39,39,Adam Harvey,Adam H.,"New York, New York",New York,New York,29.0,Boston,12,US,7,,Sous Chef,Male
40,40,Katie Weinner,Katie W.,"Rosemount, Minnesota",Salt Lake City,Utah,35.0,Boston,12,US,8,,Chef/Owner,Female
41,41,Keriann Von Raesfeld,Keriann vR.,"San Jose, California",San Jose,California,28.0,Boston,12,US,9,,Executive Chef,Female
42,42,Stacy Cogswell,Stacy C.,"Boston, Massachusetts",Boston,Massachusetts,33.0,Boston,12,US,10,,Executive Chef,Female
43,43,Aaron Grissom,Aaron G.,"Tacoma, Washington",North Hollywood,California,27.0,Boston,12,US,11,,Executive Chef,Male
44,44,James Rigato,James R.,"Howell, Michigan",White Lake,Michigan,29.0,Boston,12,US,12,,Executive Chef,Male
45,45,Rebecca LaMalfa,Rebecca L.,"Chico, California",Chicago,Illinois,32.0,Boston,12,US,12,,Executive Sous Chef,Female
46,46,Ron Eyester,Ron E.,"Long Island, New York",Atlanta,Georgia,40.0,Boston,12,US,14,,Chef/Owner,Male
47,47,Joy Crump,Joy C.,"Coatesville, Pennsylvania",Fredericksburg,Virginia,46.0,Boston,12,US,15,,Executive Chef/Owner,Female
48,48,Michael Patlazhan,Michael P.,"Brooklyn, New York",Brooklyn,New York,31.0,Boston,12,US,16,,Private Chef,Male
49,49,Jeremy Ford,Jeremy F.,"Jacksonville, Florida",Miami,Florida,30.0,California,13,US,1,,Chef de Cuisine,Male
50,50,Amar Santana,Amar S.,"Queens, New York",Orange County,California,33.0,California,13,US,2,POC,Executive Chef/Owner,Male
51,51,Isaac Toups,Isaac T.,"Rayne, Louisiana",New Orleans,Louisiana,36.0,California,13,US,3,,Executive Chef/Owner,Male
52,52,Marjorie Meek-Bradley,Marjorie M.B.,"Ukiah, California",Washington,D.C.,30.0,California,13,US,4,,Executive Chef,Female
53,53,Carl Dooley,Carl D.,"Boston, Massachusetts",Boston,Massachusetts,30.0,California,13,US,5,,Chef de Cuisine,Male
54,54,Kwame Onwuachi,Kwame O.,"Bronx, New York",Washington,D.C.,25.0,California,13,US,6,POC,Chef de Cuisine,Male
55,55,Karen Akunowicz,Karen A.,"Kearny, New Jersey",Boston,Massachusetts,37.0,California,13,US,7,,Executive Chef,Female
56,56,Phillip Frankland Lee,Phillip F.L.,"Los Angeles, California",Los Angeles,California,28.0,California,13,US,8,,Executive Chef/Owner,Male
57,57,Chad White,Chad W.,"Spokane, Washington",San Diego,California,32.0,California,13,US,9,,Executive Chef/Owner,Male
58,58,Jason Stratton,Jason S.,"Seattle, Washington",Seattle,Washington,35.0,California,13,US,10,,Executive Chef,Male
59,59,Wesley True,Wesley T.,"Mobile, Alabama",Atlanta,Georgia,38.0,California,13,US,11,,Executive Chef,Male
60,60,Angelina Bastidas,Angelina B.,"Miami, Florida",Miami,Florida,25.0,California,13,US,12,POC,Chef de Cuisine,Female
61,61,Giselle Wellman,Giselle W.,"San Diego, California",Los Angeles,California,31.0,California,13,US,13,,Executive Chef,Female
62,62,Grayson Schmitz,Grayson S.,"New Holstein, Wisconsin",New York,New York,32.0,California,13,US,14,,Head of Development,Female
63,63,Frances Tariga-Weshnak,Frances T.W.,"Manila, Philippines",New York,New York,33.0,California,13,US,15,POC,Sous Chef,Female
64,64,Renee Kelly,Renee K.,"Shawnee, Kansas",Merriam,Kansas,34.0,California,13,US,16,,Executive Chef/Owner,Female
65,65,Garret Fleming,Garret F.,"Rockford, Illinois",Washington,D.C.,33.0,California,13,US,17,,Executive Chef,Male
66,66,Ross Larkin,Ross L.,,St. Johns,Newfoundland,31.0,Canada 6,6,Canada,1,,Chef de Cuisine,Male
67,67,Mark Singson,Mark S.,,Vancouver,British Columbia,29.0,Canada 6,6,Canada,2,POC,Chef/Owner,Male
68,68,Jinhee Lee,Jinhee L.,,Calgary,Alberta,38.0,Canada 6,6,Canada,3,POC,Executive Chef,Female
69,69,JP Miron,JP M.,,Montreal,Quebec,30.0,Canada 6,6,Canada,3,,Chef de Cuisine,Male
70,70,Nathan Guggeheimer,Nathan G.,,Saskatoon,Saskatchewan,35.0,Canada 6,6,Canada,5,,Chef/Partner,Male
71,71,Darren Rogers,Darren R.,,Montreal,Quebec,27.0,Canada 6,6,Canada,6,,Chef de Cuisine,Male
72,72,Jesse Zuber,Jesse Z.,,Saskatoon,Saskatchewan,29.0,Canada 6,6,Canada,7,,Chef/Partner,Male
73,73,Matt Sullivan,Matt S.,,Toronto,Ontario,34.0,Canada 6,6,Canada,7,,Executive Chef,Male
74,74,Elia Herrera,Elia H.,,Toronto,Ontario,37.0,Canada 6,6,Canada,9,POC,Executive Chef,Female
75,75,Ivana Raca,Ivana R.,,Toronto,Ontario,33.0,Canada 6,6,Canada,10,,Chef/Owner,Female
76,76,Felix Zhou,Felix Z.,,Coquitlam,British Columbia,29.0,Canada 6,6,Canada,11,POC,Chef/Owner,Male
77,77,Brooke Williamson,Brooke W.,,Los Angeles,California,,Charleston,14,US,1,,Executive Chef/Owner,Female
78,78,Shirley Chung,Shirley C.,,Irvine,California,,Charleston,14,US,2,POC,Executive Chef/Owner,Female
79,79,Sheldon Simeon,Sheldon S.,,Maui,Hawaii,,Charleston,14,US,3,POC,Executive Chef/Owner,Male
80,80,John Tesar,John T.,,Dallas,Texas,58.0,Charleston,14,US,4,,Executive Chef/Owner,Male
81,81,Sylva Sevat,Sylva S.,,Philadelphia,Pennsylvania,,Charleston,14,US,5,POC,Executive Chef,Male
82,82,Casey Thompson,Casey T.,,Napa,California,,Charleston,14,US,6,,Executive Chef/Restaurant Consultant,Female
83,83,Emily Hahn,Emily H.,,Charleston,South Carolina,,Charleston,14,US,7,,Exeecutive Chef,Female
84,84,Katsuji Tanabe,Katsuji T.,,Los Angeles,California,,Charleston,14,US,8,POC,Executive Chef/Owner,Male
85,85,Jamie Lynch,Jamie Ly.,,Charleston,South Carolina,,Charleston,14,US,9,,Executive Chef/Partner,Male
86,86,Jim Smith,Jim S.,,Montgomery,Alabama,,Charleston,14,US,10,,Executive Chef,Male
87,87,Amanda Baumgarten,Amanda B.,,Chicago,Illinois,,Charleston,14,US,11,,Bartender,Female
88,88,Silvia Barban,Silvia B.,,Brooklyn,New York,26.0,Charleston,14,US,12,,Executive Chef,Female
89,89,BJ Smith,BJ S.,,Portland,Oregon,,Charleston,14,US,13,,Executive Chef/Owner,Male
90,90,Sam Talbot,Sam T.,,Brooklyn,New York,,Charleston,14,US,14,,Executive Chef/Owner,Male
91,91,Annie Pettry,Annie P.,,Louisville,Kentucky,,Charleston,14,US,15,,Executive Chef/Partner,Female
92,92,Gerald Sombright,Gerald S.,,Marco Island,Florida,,Charleston,14,US,16,POC,Chef de Cuisine,Male
93,93,Stephanie Izard,Stephanie I.,"Stamford, Connecticut",Chicago,Illinois,31.0,Chicago,4,US,1,,,Female
94,94,Lisa Fernandes,Lisa F.,"Toronto, Ontario",New York,New York,27.0,Chicago,4,US,2,,,Female
95,95,Richard Blais,Richard B.,"Uniondale, New York",Atlanta,Georgia,35.0,Chicago,4,US,2,,,Male
96,96,Antonia Lofaso,Antonia L.,"Los Angeles, California",Los Angeles,California,31.0,Chicago,4,US,4,,,Female
97,97,Spike Mendelsohn,Spike M.,"Clearwater Beach, Florida",Washington,D.C.,27.0,Chicago,4,US,5,,,Male
98,98,Dale Talde,Dale T.,"Chicago, Illinois",New York,New York,29.0,Chicago,4,US,6,POC,,Male
99,99,Andrew D'Ambrosi,Andrew D.,"Fort Lauderdale, Florida",New York,New York,30.0,Chicago,4,US,7,,,Female
100,100,Nikki Cascone,Nikki C.,"New York, New York",New York,New York,35.0,Chicago,4,US,8,,,Female
101,101,Mark Simmons,Mark S.,"Invercargill, New Zealand",New York,New York,29.0,Chicago,4,US,9,,,Male
102,102,Jennifer Biesty,Jennifer B.,"Brooklyn, New York",San Francisco,California,35.0,Chicago,4,US,10,,,Female
103,103,Ryan Scott,Ryan S.,"Los Banos, California",San Francisco,California,28.0,Chicago,4,US,11,,,Male
104,104,Zoi Antonitsas,Zoi A.,"Seattle, Washington",San Francisco,California,30.0,Chicago,4,US,12,,,Female
105,105,Manuel Trevino,Manuel T.,"Laredo, Texas",New York,New York,33.0,Chicago,4,US,13,POC,,Male
106,106,Erik Hopfinger,Erik H.,"Chappaqua, New York",San Francisco,California,38.0,Chicago,4,US,14,,,Male
107,107,Valerie Bolon,Valerie B.,"Chicago, Illinois",Chicago,Illinois,32.0,Chicago,4,US,15,,,Female
108,108,Nimma Osman,Nimma O.,"Peachtree City, Georgia",Atlanta,Georgia,26.0,Chicago,4,US,16,POC,,Female
109,109,Kevin Sbraga,Kevin Sb.,"Willingboro, New Jersey",Willingboro,New Jersey,30.0,D.C.,7,US,1,POC,,Male
110,110,Angelo Sosa,Angelo S.,"Durham, Connecticut",New York,New York,34.0,D.C.,7,US,2,POC,,Male
111,111,Ed Cotton,Ed C.,"Boston, Massachusetts",Queens,New York,32.0,D.C.,7,US,2,,,Male
112,112,Kelly Liken,Kelly L.,"Pittsburgh, Pennsylvania",Vail,Colorado,33.0,D.C.,7,US,4,,,Female
113,113,Tiffany Derry,Tiffany D.,"Beaumont, Texas",Dallas,Texas,26.0,D.C.,7,US,5,POC,,Female
114,114,Amanda Baumgarten,Amanda B.,"Los Angeles, California",Los Angeles,California,27.0,D.C.,7,US,6,,,Female
115,115,Alex Reznik,Alex R.,"Brooklyn, New York",Hollywood,California,33.0,D.C.,7,US,7,,,Male
116,116,Kenny Gilbert,Kenny G.,"Euclid, Ohio",Telluride,Colorado,36.0,D.C.,7,US,8,POC,,Male
117,117,Stephen Hopcraft,Stephen H.,"Cleveland, Ohio",Las Vegas,Nevada,40.0,D.C.,7,US,9,,,Male
118,118,Andrea Curto-Randazzo,Andrea C.R.,"Vero Beach, Florida",Miami Beach,Florida,39.0,D.C.,7,US,10,,,Female
119,119,Tamesha Warren,Tamesha W.,Barbados,Washington,D.C.,24.0,D.C.,7,US,11,POC,,Female
120,120,Timothy Dean,Tim D.,"Washington, D.C.",Baltimore,Maryland,39.0,D.C.,7,US,12,POC,,Male
121,121,Arnold Myint,Arnold M.,"Nashville, Tennessee",Nashville,Tennessee,32.0,D.C.,7,US,13,POC,,Male
122,122,Lynne Gigliotti,Lynne G.,"Philadelphia, Pennsylvania",Hyde Park,New York,51.0,D.C.,7,US,13,,,Female
123,123,Tracey Bloom,Tracey B.,"Rochester, New York",Atlanta,Georgia,33.0,D.C.,7,US,15,,,Female
124,124,Jacqueline Lombard,Jacqueline L.,"Boston, Massachusetts",Brooklyn,New York,33.0,D.C.,7,US,16,,,Female
125,125,John Somerville,John S.,"Detroit, Michigan",West Bloomfield,Michigan,42.0,D.C.,7,US,17,,,Male
126,126,Joseph Flamm,Joe F.,"Chicago, Illinois",Chicago,Illinois,,Colorado,15,US,1,,Executive Chef,Male
127,127,Adrienne Cheatham,Adrienne C.,"Chicago, Illinois",Harlem,New York,,Colorado,15,US,2,POC,Chef/Consultant,Female
128,128,Joe Sasto,Joe S.,,Los Angeles,California,27.0,Colorado,15,US,3,,Executive Chef,Male
129,129,Carrie Baird,Carrie B.,,Colorado,Colorado,,Colorado,15,US,4,,Chef de Cuisine,Female
130,130,Chris Scott,Chris S.,,Brooklyn,New York,,Colorado,15,US,5,POC,Chef/Owner,Male
131,131,Bruce Kalman,Bruce K.,,Pasadena,California,,Colorado,15,US,6,,Chef/Owner,Male
132,132,Fatima Ali,Fatima A.,,Brooklyn,New York,,Colorado,15,US,7,POC,Chef/Consultant,Female
133,133,Claudette Zepeda Wilkins,Claudette Z.-W.,,San Diego,California,32.0,Colorado,15,US,8,POC,Executive Chef,Female
134,134,Tanya Holland,Tanya H.,,Oakland,California,,Colorado,15,US,9,POC,Chef/Owner,Female
135,135,Brother Luck,Brother L.,,Colorado Springs,Colorado,,Colorado,15,US,10,POC,Chef/Owner,Male
136,136,Lee Anne Wong,Lee Anne W.,,Honolulu,Hawaii,39.0,Colorado,15,US,10,POC,Chef/Owner,Female
137,137,Tu David Phu,Tu P.,,Oakland,California,,Colorado,15,US,12,POC,Chef/Founder,Male
138,138,Tyler Anderson,Tyler A.,,Simsbury,Connecticut,,Colorado,15,US,13,,Chef/Owner,Male
139,139,Rogelio Garcia,Rogelio G.,,San Francisco,California,,Colorado,15,US,14,POC,Executive Chef,Male
140,140,Laura Cole,Laura C.,,Denali National Park,Alaska,,Colorado,15,US,15,,Chef/Owner,Female
141,141,Melissa Perfit,Melissa P.,,San Francisco,California,,Colorado,15,US,16,,Executive Chef,Female
142,142,Kah-wai Lo,Buddha,"Port Douglas, Australia",Brooklyn,New York,,Houston,19,US,1,POC,Executive Chef,Male
143,143,Evelyn Garcia,Evelyn G.,"Houston, Texas",Houston,Texas,,Houston,19,US,2,POC,Chef/Co-Owner,Female
144,144,Sarah Welch,Sarah W.,"Ann Arbor, Michigan",Detroit,Michigan,,Houston,19,US,2,,Executive Chef,Female
145,145,Damarr Brown,Damarr B.,"Chicago, Illinois",Chicago,Illinois,,Houston,19,US,4,POC,Chef de Cuisine,Male
146,146,Nick Wallace,Nick W.,"Edwards, Mississippi",Jackson,Mississippi,,Houston,19,US,5,POC,Chef,Male
147,147,Ashleigh Shanti,Ashleigh S.,"Virginia Beach, Virginia",Asheville,North Carolina,,Houston,19,US,6,POC,Chef/Owner,Female
148,148,Jae Jung,Jae J.,"Seoul, South Korea",New York City,New York,,Houston,19,US,7,POC,Chef/Owner,Female
149,149,Luke Kolpin,Luke K.,"Seattle, Washington",Seattle,Washington,,Houston,19,US,8,,Chef,Male
150,150,Jackson Kalb,Jackson K.,"Los Angeles, California",Los Angeles,California,,Houston,19,US,9,,Chef/Owner,Male
151,151,Jo Chan,Jo C.,"Palmdale, California",Austin,Texas,,Houston,19,US,10,POC,Executive Chef,Female
152,152,Monique Feybesse,Monique F.,"San Francisco, California",Vallejo,California,,Houston,19,US,11,POC,Chef/Owner,Female
153,153,Robert Hernandez,Robert H.,"Downey, California",San Francisco,California,,Houston,19,US,12,POC,Private Chef,Male
154,154,Sam Kang,Sam K.,"Gardena, California",Brooklyn,New York,,Houston,19,US,13,POC,Chef Educator,Male
155,155,Stephanie Miller,Stephanie M.,"Bismarck, North Dakota",Bismarck,North Dakota,,Houston,19,US,14,,Chef/Owner,Female
156,156,Leia Gaccione,Leia G.,"Passaic, New Jersey",Morristown,New Jersey,,Houston,19,US,15,,Chef/Owner,Female
157,157,Kelsey Barnard Clark,Kelsey B.-C.,,Dothan,Alabama,,Kentucky,16,US,1,,,Female
158,158,Sara Bradley,Sara B.,,Paducah,Kentucky,,Kentucky,16,US,2,,,Female
159,159,Eric Adjepong,Eric A.,,Washington,D.C.,,Kentucky,16,US,3,POC,,Male
160,160,Michelle Minori,Michelle M.,,San Francisco,California,,Kentucky,16,US,4,POC,,Female
161,161,Adrienne Wright,Adrienne W.,,Boston,Massachusetts,,Kentucky,16,US,5,,,Female
162,162,Justin Sutherland,Justin S.,,St. Paul,Minnesota,,Kentucky,16,US,6,POC,,Male
163,163,Edmund Konrad,Eddie K.,,Philadelphia,Pennsylvania,,Kentucky,16,US,7,,,Male
164,164,David Viana,David V.,,Asbury Park,New Jersey,,Kentucky,16,US,8,POC,,Male
165,165,Brian Young,Brian Y.,,Boston,Massachusetts,,Kentucky,16,US,9,,,Male
166,166,Brandon Rosen,Brandon R.,,San Mateo,California,,Kentucky,16,US,10,,,Male
167,167,Brother Luck,Brother L.,,Colorado Springs,Colorado,,Kentucky,16,US,11,POC,,Male
168,168,Nini Nguyen,Nini N.,,Brooklyn,New York,,Kentucky,16,US,12,POC,,Female
169,169,Pablo Lamon,Pablo L.,,Miami Beach,Florida,,Kentucky,16,US,12,POC,,Male
170,170,Kevin Scharpf,Kevin S.,,Dubuque,Iowa,,Kentucky,16,US,14,,,Male
171,171,Natalie Maronski,Natalie M.,,Philadelphia,Pennsylvania,,Kentucky,16,US,15,,,Female
172,172,Caitlin Steininger,Caitlin S.,,Cincinnati,Ohio,,Kentucky,16,US,16,,,Female
173,173,Michael Voltaggio,Michael V.,"Frederick, Maryland",Pasadena,California,30.0,Las Vegas,6,US,1,,,Male
174,174,Bryan Voltaggio,Bryan V.,"Frederick, Maryland",Urbana,Maryland,33.0,Las Vegas,6,US,2,,,Male
175,175,Kevin Gillespie,Kevin G.,"Atlanta, Georgia",Atlanta,Georgia,26.0,Las Vegas,6,US,2,,,Male
176,176,Jennifer Carroll,Jennifer C.,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,33.0,Las Vegas,6,US,4,,,Female
177,177,Eli Kirshtein,Eli K.,"Atlanta, Georgia",Atlanta,Georgia,25.0,Las Vegas,6,US,5,,,Male
178,178,Robin Leventhal,Robin L.,"Sun Valley, Idaho",Seattle,Washington,43.0,Las Vegas,6,US,6,,,Female
179,179,Mike Isabella,Mike I.,"Little Ferry, New Jersey",Washington,D.C.,34.0,Las Vegas,6,US,7,,,Male
180,180,Laurine Wickett,Laurine W.,"Rochester, New York",San Francisco,California,38.0,Las Vegas,6,US,8,,,Female
181,181,Ash Fulk,Ash F.,"Pleasant Hill, California",New York,New York,29.0,Las Vegas,6,US,9,,,Male
182,182,Ashley Merriman,Ashley M.,"Center Sandwich, New Hampshire",Seattle,Washington,32.0,Las Vegas,6,US,10,,,Female
183,183,Ron Duprat,Ron D.,"Mare Rouge, Haiti",Naples,Florida,40.0,Las Vegas,6,US,11,POC,,Male
184,184,Mattin Noblia,Mattin N.,"Biarritz, France",San Francisco,California,29.0,Las Vegas,6,US,12,,,Male
185,185,Hector Santiago,Hector S.,"San Juan, Puerto Rico",Atlanta,Georgia,41.0,Las Vegas,6,US,13,POC,,Male
186,186,Jesse Sandlin,Jesse S.,"Baltimore, Maryland",Baltimore,Maryland,30.0,Las Vegas,6,US,14,,,Female
187,187,Preeti Mistry,Preeti M.,"San Francisco, California",San Francisco,California,33.0,Las Vegas,6,US,15,POC,,Female
188,188,Eve Aronoff,Eve A.,"Ann Arbor, Michigan",Ann Arbor,Michigan,40.0,Las Vegas,6,US,16,,,Female
